-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     501.429ms        57.41%     501.429ms     205.504us          2440  
                                       _xpu_C::fp8_gemm         4.03%      43.541ms         9.14%      98.676ms      48.182us     357.249ms        40.90%     357.249ms     174.438us          2048  
                                  _xpu_C::gdn_attention         1.06%      11.482ms         7.81%      84.301ms     219.535us     152.219ms        17.43%     162.244ms     422.511us           384  
           gdn::ChunkFwdOKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      86.761ms         9.93%      86.761ms     602.510us           144  
gdn::gated_delta_rule_kernel<sycl::_V1::detail::half...         0.00%       0.000us         0.00%       0.000us       0.000us      85.648ms         9.81%      85.648ms     356.865us           240  
oneccl_allreduce_pcie<sycl::_V1::detail::half_impl::...         0.00%       0.000us         0.00%       0.000us       0.000us      57.888ms         6.63%      57.888ms      56.093us          1032  
                                       c10d::allreduce_         6.29%      67.888ms         8.93%      96.397ms      93.408us      42.563ms         4.87%      42.563ms      41.243us          1032  
      gdn::ChunkComputeWUKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      33.717ms         3.86%      33.717ms     234.145us           144  
       gdn::ChunkComputeAKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      21.036ms         2.41%      21.036ms     146.083us           144  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      19.615ms         2.25%      19.615ms      22.703us           864  
                                               aten::mm         1.70%      18.296ms         2.55%      27.515ms      70.191us      17.249ms         1.97%      17.249ms      44.004us           392  
vllm::per_token_group_quant_8bit_vec_kernel<c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us      12.698ms         1.45%      12.698ms       6.200us          2048  
                                            aten::fill_         0.56%       6.008ms         3.04%      32.809ms       6.098us      10.046ms         1.15%      10.046ms       1.867us          5380  
                          _C::per_token_group_fp8_quant         0.92%       9.923ms         5.37%      57.966ms      28.304us       9.925ms         1.14%       9.925ms       4.846us          2048  
