at,elapsed_s,pswpin,pswpout,pswpin_d,pswpout_d,pgmajfault_d,pgscan_d,mem_available_kb,swap_free_kb,dirty_kb,cached_kb,psi_mem_some_avg10,psi_mem_full_avg10,target
2026-09-19T18:59:02-04:00,0,856125,1339582,0,0,0,0,14239008,37127540,662516,8428204,0.03,0.03,0
2026-09-19T18:59:03-04:00,1,856977,1339582,852,0,1819,0,14163160,37127540,662548,8603800,0.03,0.03,0
2026-09-19T18:59:03-04:00,1,856992,1339582,15,0,1845,0,14074436,37127540,662548,8846176,0.03,0.03,0
2026-09-19T18:59:04-04:00,2,857008,1339582,16,0,1339,0,14024060,37127540,662556,8991568,0.02,0.02,0
2026-09-19T18:59:05-04:00,3,857020,1339582,12,0,181,0,13958912,37127540,662568,9015092,0.02,0.02,0
2026-09-19T18:59:05-04:00,3,857022,1339582,2,0,468,0,13928124,37127544,662576,9091212,0.02,0.02,0
2026-09-19T18:59:06-04:00,4,857046,1339582,24,0,116,0,13982080,37127556,662604,9096852,0.02,0.02,0
2026-09-19T18:59:06-04:00,4,857049,1339582,3,0,2,0,13889584,37127556,662156,9096852,0.02,0.02,0
2026-09-19T18:59:07-04:00,5,857050,1339582,1,0,129,0,13415468,37127556,661748,9117936,0.02,0.02,0
2026-09-19T18:59:07-04:00,5,857057,1339582,7,0,10,0,13986568,37127556,661880,9118500,0.02,0.02,0
2026-09-19T18:59:08-04:00,6,857062,1339582,5,0,5,0,13877216,37127556,661888,9118500,0.02,0.02,0
2026-09-19T18:59:08-04:00,6,857065,1339582,3,0,3,0,13285572,37127556,661952,9118620,0.01,0.01,0
2026-09-19T18:59:09-04:00,7,857075,1339582,10,0,10,0,14004316,37127556,661952,9118620,0.01,0.01,0
2026-09-19T18:59:09-04:00,7,857081,1339582,6,0,5,0,13870468,37127556,661952,9118620,0.01,0.01,0
2026-09-19T18:59:10-04:00,8,857089,1339582,8,0,11,0,13537988,37127556,661996,9119564,0.01,0.01,0
2026-09-19T18:59:10-04:00,8,857111,1339582,22,0,11,0,13400220,37127556,662016,9119568,0.01,0.01,0
2026-09-19T18:59:11-04:00,9,857118,1339582,7,0,117,0,13121936,37127556,662016,9126220,0.01,0.01,0
2026-09-19T18:59:11-04:00,9,857120,1339582,2,0,524,152460,12930532,37127556,661928,8858260,0.01,0.01,0
2026-09-19T18:59:12-04:00,10,857124,1339582,4,0,278,0,13898284,37127556,661932,8865748,0.01,0.01,0
2026-09-19T18:59:12-04:00,10,857129,1339582,5,0,6,0,13995496,37127556,661732,8868172,0.01,0.01,0
2026-09-19T18:59:13-04:00,11,857790,1339582,661,0,508,0,13893972,37127620,661740,8868172,0.01,0.01,0
