Timestamp, DeviceId, Average % utilization of all GPU Engines, GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Bandwidth Utilization (%), GPU Memory Used (MiB), Throttle reason
05:09:11.742,    0, 0.00, 68.44, 2000, 64.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:12.742,    0, 0.00, 69.63, 2000, 64.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:13.742,    0, 0.00, 69.58, 2000, 64.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:14.742,    0, 0.00, 69.61, 2000, 64.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:15.742,    0, 0.00, 69.64, 2000, 64.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:16.742,    0, 0.00, 69.51, 2000, 64.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:17.742,    0, 0.00, 69.49, 2000, 63.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:18.742,    0, 0.00, 69.81, 2000, 63.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:19.742,    0, 0.00, 69.79, 2000, 63.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:20.742,    0, 0.00, 69.49, 2000, 63.00, 86.00, 0.18,    0, 61.13, Not Throttled
05:09:21.742,    0, 0.00, 57.98,  700, 62.00, 86.00, 0.23,    0, 76.55, Not Throttled
05:09:22.742,    0, 0.00, 56.01,  700, 62.00, 86.00, 0.27,    0, 89.74, Not Throttled
05:09:23.742,    0, 0.00, 56.25,  700, 62.00, 86.00, 0.27,    0, 89.74, Not Throttled
05:09:24.742,    0, 0.34, 96.77, 2050, 64.00, 72.00, 80.94,    8, 26433.07, Not Throttled
05:09:25.742,    0, 1.57, 69.65, 2800, 63.00, 70.00, 80.94,    0, 26433.07, Not Throttled
05:09:26.742,    0, 1.23, 82.46, 2800, 64.00, 70.00, 80.94,    0, 26433.07, Not Throttled
05:09:27.742,    0, 1.12, 60.31, 1200, 62.00, 70.00, 80.94,    0, 26433.07, Not Throttled
05:09:28.742,    0, 1.73, 65.33, 2800, 63.00, 70.00, 80.94,    0, 26433.38, Not Throttled
05:09:29.742,    0, 1.24, 83.12, 2800, 64.00, 70.00, 80.94,    0, 26433.38, Not Throttled
05:09:30.742,    0, 1.12, 65.61, 1450, 62.00, 70.00, 80.94,    0, 26433.38, Not Throttled
05:09:31.742,    0, 1.66, 81.46, 2800, 64.00, 70.00, 80.94,    0, 26433.38, Not Throttled
05:09:32.742,    0, 1.12, 72.39, 1750, 62.00, 68.00, 80.94,    0, 26433.38, Not Throttled
05:09:33.742,    0, 1.12, 65.33, 1450, 62.00, 68.00, 80.94,    0, 26433.38, Not Throttled
05:09:34.742,    0, 1.51, 82.24, 2800, 63.00, 68.00, 80.94,    0, 26433.38, Not Throttled
05:09:35.742,    0, 1.23, 82.31, 2800, 64.00, 68.00, 80.94,    2, 26433.38, Not Throttled
05:09:36.742,    0, 1.23, 79.78, 2200, 63.00, 68.00, 80.94,    0, 26433.38, Not Throttled
05:09:37.742,    0, 1.45, 65.52, 1600, 62.00, 68.00, 80.94,    0, 26433.38, Not Throttled
05:09:38.742,    0, 9.57, 192.44, 2800, 69.00, 72.00, 86.86,   26, 28365.54, Not Throttled
05:09:39.742,    0, 1.92, 96.64, 2800, 65.00, 70.00, 86.73,    1, 28323.54, Not Throttled
05:09:40.742,    0, 2.68, 99.41, 2800, 66.00, 70.00, 86.91,    0, 28381.54, Not Throttled
05:09:41.742,    0, 21.43, 204.03, 2800, 69.00, 72.00, 86.91,   30, 28381.54, Not Throttled
05:09:42.742,    0, 21.52, 203.80, 2800, 69.00, 72.00, 86.91,   32, 28381.54, Not Throttled
05:09:43.742,    0, 21.50, 202.10, 2800, 70.00, 74.00, 86.91,   28, 28381.54, Not Throttled
05:09:44.742,    0, 21.25, 204.43, 2800, 70.00, 74.00, 86.91,   28, 28381.54, Not Throttled
05:09:45.742,    0, 21.35, 206.68, 2800, 71.00, 74.00, 86.91,   30, 28381.54, Not Throttled
05:09:46.742,    0, 21.46, 205.82, 2800, 71.00, 74.00, 86.91,   34, 28381.54, Not Throttled
05:09:47.742,    0, 21.46, 202.83, 2800, 71.00, 74.00, 86.91,   28, 28381.54, Not Throttled
05:09:48.742,    0, 21.53, 205.93, 2800, 72.00, 76.00, 86.91,   28, 28381.54, Not Throttled
05:09:49.742,    0, 21.62, 208.57, 2800, 72.00, 76.00, 86.91,   30, 28381.54, Not Throttled
05:09:50.742,    0, 21.37, 208.24, 2800, 72.00, 76.00, 86.91,   34, 28381.54, Not Throttled
05:09:51.742,    0, 21.37, 202.65, 2800, 72.00, 76.00, 86.91,   30, 28381.54, Not Throttled
05:09:52.742,    0, 21.50, 206.66, 2800, 73.00, 76.00, 86.91,   26, 28381.54, Not Throttled
05:09:53.742,    0, 21.59, 206.83, 2800, 73.00, 76.00, 86.91,   30, 28381.54, Not Throttled
05:09:54.742,    0, 21.43, 209.63, 2800, 73.00, 76.00, 86.91,   34, 28381.54, Not Throttled
05:09:55.742,    0, 21.35, 204.48, 2800, 72.00, 76.00, 86.91,   30, 28381.54, Not Throttled
05:09:56.742,    0, 21.60, 205.77, 2800, 74.00, 76.00, 86.91,   28, 28381.54, Not Throttled
05:09:57.742,    0, 21.63, 207.73, 2800, 74.00, 78.00, 86.91,   31, 28381.54, Not Throttled
05:09:58.742,    0, 21.58, 208.57, 2800, 74.00, 78.00, 86.91,   34, 28381.54, Not Throttled
05:09:59.742,    0, 21.61, 205.53, 2800, 73.00, 78.00, 86.91,   30, 28381.54, Not Throttled
05:10:00.742,    0, 21.65, 206.42, 2800, 74.00, 78.00, 86.91,   27, 28381.54, Not Throttled
05:10:01.742,    0, 21.57, 207.04, 2800, 74.00, 78.00, 86.91,   32, 28381.54, Not Throttled
05:10:02.742,    0, 21.43, 208.93, 2800, 74.00, 78.00, 86.91,   36, 28381.54, Not Throttled
05:10:03.742,    0, 21.64, 206.27, 2800, 74.00, 78.00, 86.91,   30, 28381.54, Not Throttled
05:10:04.742,    0, 21.56, 206.15, 2800, 74.00, 78.00, 86.91,   26, 28381.54, Not Throttled
