Timestamp, DeviceId, Average % utilization of all GPU Engines, GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Bandwidth Utilization (%), GPU Memory Used (MiB), Throttle reason
05:16:00.313,    0, 0.00, 85.85, 2600, 67.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:01.313,    0, 0.00, 66.98, 1800, 66.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:02.313,    0, 0.00, 66.82, 1800, 66.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:03.313,    0, 0.00, 66.37, 1800, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:04.313,    0, 0.00, 66.42, 1800, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:05.313,    0, 0.00, 65.97, 1800, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:06.313,    0, 0.00, 66.06, 1800, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:07.313,    0, 0.00, 66.18, 1800, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:08.313,    0, 0.00, 65.86, 1800, 64.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:09.312,    0, 0.00, 65.83, 1800, 64.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:16:10.312,    0, 0.00, 61.54,  900, 64.00, 88.00, 0.19,    0, 62.43, Not Throttled
05:16:11.312,    0, 0.00, 56.54,  900, 63.00, 88.00, 0.27,    0, 89.75, Not Throttled
05:16:12.312,    0, 0.00, 58.74,  900, 63.00, 88.00, 0.27,    0, 89.75, Not Throttled
05:16:13.312,    0, 0.22, 91.42, 2800, 65.00, 74.00, 80.94,    8, 26433.07, Not Throttled
05:16:14.312,    0, 1.24, 70.17, 2050, 64.00, 72.00, 80.94,    0, 26433.07, Not Throttled
05:16:15.312,    0, 1.13, 69.60, 2800, 65.00, 72.00, 80.94,    0, 26433.07, Not Throttled
05:16:16.312,    0, 1.24, 75.18, 2800, 65.00, 72.00, 80.94,    0, 26433.07, Not Throttled
05:16:17.312,    0, 1.24, 80.48, 2200, 64.00, 72.00, 80.94,    0, 26433.39, Not Throttled
05:16:18.312,    0, 1.35, 83.44, 2800, 65.00, 72.00, 80.94,    0, 26433.39, Not Throttled
05:16:19.312,    0, 1.24, 83.83, 2800, 65.00, 72.00, 80.94,    0, 26433.39, Not Throttled
