-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     414.966ms        57.87%     414.966ms     170.068us          2440  
                                       _xpu_C::fp8_gemm         4.49%      43.211ms        10.27%      98.786ms      48.235us     387.519ms        54.04%     387.519ms     189.218us          2048  
                                  _xpu_C::gdn_attention         0.94%       9.070ms         5.25%      50.479ms     131.457us     181.377ms        25.29%     188.425ms     490.689us           384  
gdn::gated_delta_rule_kernel<sycl::_V1::detail::half...         0.00%       0.000us         0.00%       0.000us       0.000us     120.200ms        16.76%     120.200ms     357.740us           336  
                                       c10d::allreduce_         6.04%      58.157ms         9.05%      87.073ms      84.373us      74.754ms        10.43%      74.754ms      72.436us          1032  
oneccl_allreduce_pcie<sycl::_V1::detail::half_impl::...         0.00%       0.000us         0.00%       0.000us       0.000us      74.754ms        10.43%      74.754ms      72.436us          1032  
           gdn::ChunkFwdOKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      30.226ms         4.22%      30.226ms     629.704us            48  
                                               aten::mm         1.92%      18.491ms         3.25%      31.251ms      79.721us      27.447ms         3.83%      27.447ms      70.017us           392  
      gdn::ChunkComputeWUKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      12.488ms         1.74%      12.488ms     260.160us            48  
                          _C::per_token_group_fp8_quant         1.04%       9.962ms         6.10%      58.704ms      28.664us       9.949ms         1.39%       9.949ms       4.858us          2048  
vllm::per_token_group_quant_8bit_vec_kernel<c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us       9.949ms         1.39%       9.949ms       4.858us          2048  
                                            aten::fill_         0.27%       2.552ms         1.28%      12.282ms       2.677us       7.063ms         0.99%       7.063ms       1.540us          4588  
       gdn::ChunkComputeAKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us       7.040ms         0.98%       7.040ms     146.664us            48  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       6.951ms         0.97%       6.951ms      24.136us           288  
