Timestamp, DeviceId, Average % utilization of all GPU Engines, GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Bandwidth Utilization (%), GPU Memory Used (MiB), Throttle reason
05:05:46.643,    0, 0.00, 50.24,  517, 43.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:47.643,    0, 0.00, 51.94,  517, 43.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:48.643,    0, 0.00, 51.84,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:49.643,    0, 0.00, 51.75,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:50.643,    0, 0.00, 51.97,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:51.643,    0, 0.00, 51.95,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:52.643,    0, 0.00, 51.77,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:53.643,    0, 0.00, 51.97,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:54.643,    0, 0.00, 51.88,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:55.643,    0, 0.00, 51.76,  517, 44.00, 52.00, 0.18,    0, 61.31, Not Throttled
05:05:56.643,    0, 0.00, 50.40,  517, 45.00, 48.00, 0.27,    0, 89.93, Not Throttled
05:05:57.643,    0, 0.00, 51.72,  517, 44.00, 48.00, 0.27,    0, 89.93, Not Throttled
05:05:58.643,    0, 0.00, 51.74,  517, 45.00, 48.00, 0.27,    0, 89.93, Not Throttled
05:05:59.643,    0, 1.24, 83.08, 2300, 46.00, 48.00, 80.94,    8, 26433.25, Not Throttled
05:06:00.643,    0, 1.24, 72.66, 2800, 47.00, 48.00, 80.94,    0, 26433.07, Not Throttled
05:06:01.643,    0, 1.12, 61.94, 1450, 46.00, 48.00, 80.94,    0, 26433.07, Not Throttled
05:06:02.643,    0, 1.65, 76.97, 2800, 47.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:03.643,    0, 1.24, 78.63, 2800, 47.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:04.643,    0, 1.24, 76.11, 2200, 47.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:05.643,    0, 1.88, 75.38, 1750, 47.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:06.643,    0, 1.24, 65.49, 2800, 48.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:07.643,    0, 1.65, 76.98, 2200, 47.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:08.643,    0, 1.95, 76.29, 1750, 47.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:09.643,    0, 1.24, 79.43, 2800, 48.00, 48.00, 80.94,    2, 26433.38, Not Throttled
05:06:10.643,    0, 1.68, 77.11, 2200, 48.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:11.643,    0, 2.04, 75.97, 2800, 48.00, 48.00, 80.94,    0, 26433.38, Not Throttled
05:06:12.643,    0, 0.90, 65.94, 2800, 48.00, 48.00, 80.94,    2, 26433.38, Not Throttled
05:06:13.643,    0, 10.81, 204.30, 2800, 53.00, 54.00, 85.25,   41, 27840.02, Not Throttled
05:06:14.643,    0, 1.34, 93.96, 2800, 50.00, 50.00, 86.73,    1, 28323.54, Not Throttled
05:06:15.643,    0, 14.93, 152.66, 2800, 54.00, 52.00, 86.91,   22, 28381.54, Not Throttled
05:06:16.643,    0, 21.62, 194.92, 2800, 55.00, 54.00, 86.91,   48, 28381.54, Not Throttled
05:06:17.643,    0, 21.57, 192.97, 2800, 56.00, 54.00, 86.91,   42, 28381.54, Not Throttled
05:06:18.643,    0, 21.46, 196.21, 2800, 56.00, 54.00, 86.91,   44, 28381.54, Not Throttled
05:06:19.643,    0, 21.53, 200.13, 2800, 56.00, 56.00, 86.91,   48, 28381.54, Not Throttled
05:06:20.643,    0, 21.33, 195.86, 2800, 57.00, 56.00, 86.91,   48, 28381.54, Not Throttled
05:06:21.643,    0, 21.49, 195.07, 2800, 58.00, 56.00, 86.91,   42, 28381.54, Not Throttled
05:06:22.643,    0, 21.50, 198.57, 2800, 58.00, 56.00, 86.91,   45, 28381.54, Not Throttled
05:06:23.643,    0, 21.35, 200.68, 2800, 59.00, 58.00, 86.91,   46, 28381.54, Not Throttled
